date,DOV,DPZ,EBAY,FTNT,GIS,L,LDOS,MDLZ,QCOM,RJF,SEE,SHW,SLB,UDR,WELL,XOM
2022-04-04,157.93,403.79,56.73,346.69,68.49,63.86,107.23,63.04,153.81,107.86,67.66,259.04,41.55,58.06,97.67,83.16
2022-04-05,153.92,391.17,56.4,341.89,69.16,63.3,107.2,63.01,145.46,108.72,66.51,257.97,40.46,58.16,95.69,82.73
2022-04-06,154.75,391.1,54.11,332.07,69.73,63.36,107.48,63.2,139.28,106.89,66.52,262.63,40.78,59.57,97.06,83.65
2022-04-07,154.43,397.4,54.38,338.12,69.75,63.56,108.07,62.89,139.22,106.54,66.9,263.83,40.97,59.12,96.29,85.05
2022-04-08,150.88,394.79,55.03,336.17,70.17,64.43,107.99,63.4,136.69,108.62,68.69,263.76,42.55,58.74,96.98,86.84
2022-04-11,149.23,387.92,54.89,328.07,70.51,64.66,108.17,63.41,135.36,108.1,67.68,261.1,41.33,57.5,96.37,83.85
2022-04-12,147.87,388.57,54.24,330.1,70.43,64.51,108.3,63.67,136.09,108.18,67.0,256.95,41.53,57.66,96.56,85.6
2022-04-13,149.41,392.16,55.12,340.86,70.68,64.76,108.73,63.85,140.5,111.64,67.3,258.4,42.57,57.7,96.9,86.81
2022-04-14,146.39,387.24,54.15,331.76,70.92,65.15,109.06,63.72,136.91,111.8,67.42,252.9,43.25,57.58,96.03,87.83
2022-04-18,146.62,379.49,54.56,330.42,70.84,65.5,109.26,63.57,139.32,110.92,66.08,246.17,43.68,57.13,96.49,88.55
2022-04-19,151.68,394.08,55.17,335.19,71.72,65.68,109.61,65.21,141.05,113.05,67.7,252.25,43.43,58.0,96.78,87.76
2022-04-20,155.52,396.49,54.86,340.58,72.83,67.36,109.87,65.73,140.34,113.79,69.13,253.09,42.68,59.06,97.51,87.96
2022-04-21,144.16,391.0,54.77,321.26,73.19,66.66,109.78,65.84,136.11,109.76,68.18,251.61,40.65,59.45,97.3,87.03
2022-04-22,143.0,378.83,53.17,304.29,72.5,64.71,108.25,65.06,132.81,103.52,65.37,244.92,41.65,58.25,94.94,85.13
2022-04-25,142.24,378.16,53.63,323.49,72.2,64.68,107.17,65.78,136.56,103.97,65.37,248.02,38.69,57.8,95.56,82.26
2022-04-26,139.05,369.73,53.1,306.5,71.03,63.44,106.63,64.04,133.5,100.03,64.32,271.37,39.54,56.82,95.26,82.29
2022-04-27,137.99,372.91,52.06,300.38,71.36,64.11,106.24,64.05,135.1,100.42,65.11,279.38,39.95,55.96,93.24,84.64
2022-04-28,139.49,353.88,53.77,308.65,72.27,64.58,105.03,66.22,148.19,104.04,66.12,281.31,40.11,56.18,94.44,87.2
2022-04-29,133.3,338.0,51.92,289.01,70.73,62.84,103.51,64.48,139.69,97.46,64.21,274.96,39.01,53.21,90.81,85.25
2022-05-02,134.37,351.12,53.15,292.02,69.48,61.57,103.51,63.79,145.27,98.43,64.35,268.78,39.11,51.76,90.12,86.41
2022-05-03,136.04,343.84,53.46,286.53,69.65,62.79,102.52,64.69,144.26,100.35,65.57,269.37,40.15,51.83,90.69,88.19
2022-05-04,138.24,353.2,54.42,287.37,70.81,64.85,104.78,66.19,149.05,103.23,68.48,282.53,42.6,52.06,90.22,91.7
2022-05-05,135.23,341.69,48.04,284.52,70.75,63.76,104.06,65.23,141.64,99.27,64.8,276.95,42.08,50.61,89.97,90.31
2022-05-06,133.01,341.79,48.81,266.37,71.4,64.44,103.21,65.73,140.58,97.22,65.6,273.38,43.03,50.05,88.43,91.69
2022-05-09,132.1,333.6,49.26,245.22,73.5,63.08,99.38,66.28,134.92,93.63,64.21,276.97,38.04,47.69,87.06,84.46
2022-05-10,129.95,335.72,48.59,261.79,71.74,62.73,101.23,65.92,136.81,93.74,63.18,266.37,37.89,46.54,85.8,85.02
2022-05-11,130.08,325.13,46.58,260.96,71.8,62.38,101.21,65.56,132.3,92.95,62.85,264.67,38.37,47.44,86.99,86.79
2022-05-12,131.35,327.85,46.16,266.66,72.21,61.94,100.57,65.68,131.77,92.0,63.13,274.54,39.03,47.94,87.08,86.3
2022-05-13,132.83,340.94,46.65,281.55,73.1,63.15,101.64,66.38,134.93,94.99,62.4,273.33,40.74,48.78,88.37,88.86
2022-05-16,133.37,336.45,45.09,275.41,73.46,63.1,103.2,66.13,133.91,94.15,62.43,271.37,42.14,48.22,88.85,90.95
2022-05-17,135.9,336.46,46.92,282.81,72.91,64.8,104.4,65.72,139.69,96.92,64.63,269.26,42.95,48.56,89.66,92.11
2022-05-18,129.39,328.02,44.94,270.56,67.57,63.46,101.69,60.96,130.45,91.99,61.03,259.66,41.13,46.74,88.22,90.65
2022-05-19,129.54,336.43,44.62,275.16,66.13,62.94,101.52,61.1,130.57,91.54,59.81,259.37,40.85,46.28,87.52,91.14
2022-05-20,130.78,341.69,44.31,285.28,67.01,62.79,100.6,61.19,131.6,91.77,59.89,257.95,41.12,46.58,88.11,91.86
2022-05-23,130.8,343.01,45.19,286.37,67.48,64.1,101.85,62.04,132.12,94.19,60.95,259.27,43.81,47.79,87.71,93.89
2022-05-24,130.85,342.17,44.18,285.84,69.14,63.93,101.97,63.0,128.53,93.12,61.16,257.65,43.9,47.8,88.42,94.4
2022-05-25,129.76,352.57,44.81,287.32,69.26,64.2,102.39,62.37,131.23,93.1,61.15,265.12,45.05,47.66,88.95,96.3
2022-05-26,133.06,355.61,46.47,294.3,69.46,64.78,103.63,62.5,134.84,96.13,62.8,271.97,46.69,47.59,88.58,96.64
2022-05-27,134.55,365.91,48.82,297.87,69.89,65.93,105.36,63.76,139.76,99.19,63.78,276.35,48.21,48.59,90.17,97.59
2022-05-31,133.91,363.17,48.67,294.14,69.85,65.49,104.5,63.56,143.22,98.49,62.18,268.04,45.96,47.8,89.09,96.0
2022-06-01,132.78,360.85,46.97,289.06,69.12,64.75,104.74,62.91,140.02,97.74,62.25,265.26,46.68,47.92,88.16,97.84
2022-06-02,135.53,372.87,47.77,303.22,68.68,65.37,105.65,63.04,146.2,98.36,63.67,269.49,46.3,48.0,88.87,97.67
2022-06-03,133.43,368.12,47.09,296.76,68.39,64.74,105.78,62.41,141.21,95.97,62.79,268.88,47.47,47.8,88.0,99.09
2022-06-06,133.19,377.27,47.67,296.97,68.77,64.49,105.92,62.45,140.44,97.36,63.59,275.03,47.22,46.41,87.14,98.84
2022-06-07,136.12,385.28,47.51,305.38,69.16,64.85,107.07,63.24,141.89,98.65,63.95,277.23,48.93,47.31,89.3,103.37
2022-06-08,134.62,384.0,47.68,300.53,68.9,63.41,103.91,62.62,138.96,96.49,61.94,268.08,49.57,46.35,85.98,104.59
2022-06-09,132.71,385.44,46.69,303.5,67.93,61.57,102.83,61.23,136.71,93.59,61.09,261.99,48.14,45.21,83.23,102.33
2022-06-10,128.41,380.5,44.28,288.31,68.38,60.34,100.72,60.8,133.2,89.35,59.92,247.42,47.21,44.76,82.07,100.46
2022-06-13,123.96,380.63,42.92,266.49,67.06,58.31,99.4,59.2,128.66,85.45,58.07,237.86,44.32,42.41,77.85,95.85
2022-06-14,123.0,377.13,42.58,269.23,66.45,58.54,97.91,58.47,130.26,86.78,58.58,229.48,43.22,42.32,77.45,96.1
2022-06-15,124.06,385.42,43.51,277.52,66.34,58.91,98.79,59.04,131.03,87.98,58.89,228.99,41.52,42.94,78.45,94.89
2022-06-16,119.82,379.55,41.08,263.73,66.75,56.9,95.36,58.61,120.82,86.49,56.67,218.95,38.48,42.77,77.7,91.39
2022-06-17,117.29,379.17,42.21,268.99,66.23,57.54,94.15,58.8,120.99,87.5,56.24,222.79,36.64,43.53,77.65,86.12
2022-06-21,119.22,386.36,42.29,281.01,67.85,58.49,96.9,59.82,124.39,90.01,57.4,220.15,38.82,44.1,78.68,91.48
2022-06-22,119.42,389.76,43.13,278.44,67.9,58.41,97.44,60.28,122.16,88.67,57.44,221.2,37.52,44.48,79.77,87.86
